App Name,Leaked Data Type,Leaked Data,Domain Classification,Domain
Gmail,LOCATION,Zip Code,others,ord38s19-in-f5.1e100.net
Gmail,LOCATION,Zip Code,others,ord38s19-in-f5.1e100.net
Gmail,CONTACT,Contact Phone Number,others,ord38s01-in-f1.1e100.net
Gmail,CONTACT,Contact Phone Number,others,ord36s01-in-f133.1e100.net
Gmail,CONTACT,Contact Phone Number,others,ord36s01-in-f133.1e100.net
Gmail,LOCATION,Zip Code,others,ord38s19-in-f5.1e100.net
Gmail,LOCATION,Zip Code,others,ord38s19-in-f5.1e100.net
Gmail,CONTACT,Contact Phone Number,others,ord38s09-in-f1.1e100.net
Gmail,CONTACT,Contact Phone Number,others,ord38s01-in-f1.1e100.net
Gmail,CONTACT,Contact Phone Number,others,ord38s01-in-f1.1e100.net
Gmail,CONTACT,Contact Phone Number,others,ord38s01-in-f1.1e100.net
Gmail,CONTACT,Contact Phone Number,others,ord36s01-in-f133.1e100.net
Gmail,CONTACT,Contact Phone Number,others,ord36s01-in-f133.1e100.net
Gmail,CONTACT,Contact Phone Number,others,ord38s19-in-f5.1e100.net
Gmail,CONTACT,Contact Phone Number,others,ord38s19-in-f5.1e100.net
Gmail,CONTACT,Contact Phone Number,others,ord38s19-in-f5.1e100.net
Gmail,LOCATION,GPS Coordinates,others,ord38s19-in-f5.1e100.net
Gmail,LOCATION,GPS Coordinates,others,ord38s19-in-f5.1e100.net
Gmail,LOCATION,Zip Code,others,ord38s19-in-f5.1e100.net
Gmail,LOCATION,GPS Coordinates,others,ord38s19-in-f5.1e100.net
Gmail,LOCATION,GPS Coordinates,others,ord38s19-in-f5.1e100.net
Gmail,LOCATION,GPS Coordinates,others,ord38s19-in-f5.1e100.net
Gmail,LOCATION,Zip Code,others,ord38s19-in-f5.1e100.net
