App Name,Leaked Data Type,Leaked Data,Domain Classification,Domain
MyFitnessPal,CONTACT,Contact Phone Number,others,120.103.245.35.bc.googleusercontent.com
MyFitnessPal,LOCATION,GPS Coordinates,others,server-13-224-215-18.phl50.r.cloudfront.net
MyFitnessPal,LOCATION,GPS Coordinates,others,server-13-224-207-49.phl50.r.cloudfront.net
MyFitnessPal,LOCATION,GPS Coordinates,others,server-13-224-215-103.phl50.r.cloudfront.net
MyFitnessPal,LOCATION,GPS Coordinates,others,server-13-224-215-18.phl50.r.cloudfront.net
MyFitnessPal,LOCATION,GPS Coordinates,others,server-13-224-215-66.phl50.r.cloudfront.net
MyFitnessPal,LOCATION,GPS Coordinates,others,server-13-224-215-99.phl50.r.cloudfront.net
MyFitnessPal,LOCATION,GPS Coordinates,others,server-13-224-207-49.phl50.r.cloudfront.net
MyFitnessPal,LOCATION,GPS Coordinates,others,server-13-224-215-66.phl50.r.cloudfront.net
MyFitnessPal,LOCATION,GPS Coordinates,others,server-13-224-215-28.phl50.r.cloudfront.net
MyFitnessPal,LOCATION,GPS Coordinates,others,server-13-224-215-28.phl50.r.cloudfront.net
MyFitnessPal,DEVICE,Advertising ID,others,ec2-54-164-196-190.compute-1.amazonaws.com
