App Name,Leaked Data Type,Leaked Data,Domain Classification,Domain
Taobao,DEVICE,IMSI,others,203.209.230.194
Taobao,DEVICE,IMEI,others,203.209.230.194
Taobao,CONTACT,Contact Phone Number,others,42.120.230.2
Taobao,LOCATION,MacAddressEnc,others,203.119.206.64
Taobao,LOCATION,MacAddressEnc,others,203.119.211.219
Taobao,LOCATION,GPS Coordinates,others,203.119.215.159
Taobao,LOCATION,GPS Coordinates,others,203.119.215.159
Taobao,LOCATION,MacAddressEnc,others,203.119.206.64
Taobao,LOCATION,MacAddressEnc,others,203.119.211.219
Taobao,LOCATION,GPS Coordinates,others,203.119.215.159
Taobao,LOCATION,GPS Coordinates,others,203.119.215.159
Taobao,LOCATION,GPS Coordinates,others,203.119.215.159
Taobao,LOCATION,GPS Coordinates,others,203.119.215.159
Taobao,LOCATION,MacAddressEnc,others,203.119.206.64
Taobao,LOCATION,MacAddressEnc,others,203.119.211.219
Taobao,LOCATION,GPS Coordinates,others,203.119.215.159
Taobao,LOCATION,GPS Coordinates,others,203.119.215.159
Taobao,LOCATION,MacAddressEnc,others,203.119.206.64
Taobao,LOCATION,MacAddressEnc,others,203.119.211.219
Taobao,LOCATION,MacAddressEnc,others,203.119.206.64
Taobao,LOCATION,MacAddressEnc,others,203.119.211.219
